Regime,Strategy,Total Return,CAGR,Annual Vol,Sharpe,Max DD
2018 Trade War,Equal_Weight,-2.83%,-2.91%,18.45%,-0.18,19.78%
2018 Trade War,MVO_Historical,2.37%,2.44%,21.36%,0.13,17.38%
2018 Trade War,ML_MVO_No_Uncertainty,-8.94%,-9.19%,22.40%,-0.41,22.99%
2018 Trade War,UAPOML_Uncertainty_Aware,-8.80%,-9.04%,22.34%,-0.40,22.69%
2018 Trade War,Benchmark_SPY,-7.24%,-7.44%,17.19%,-0.48,19.35%
2020 COVID Shock,Equal_Weight,22.96%,22.85%,34.93%,0.71,32.59%
2020 COVID Shock,MVO_Historical,47.03%,46.81%,36.26%,1.19,28.34%
2020 COVID Shock,ML_MVO_No_Uncertainty,-0.94%,-0.94%,36.40%,0.10,37.35%
2020 COVID Shock,UAPOML_Uncertainty_Aware,-4.19%,-4.18%,36.40%,0.01,38.33%
2020 COVID Shock,Benchmark_SPY,18.33%,18.25%,33.40%,0.61,33.72%
2022 Fed Rate Hikes,Equal_Weight,-9.06%,-9.10%,22.65%,-0.40,20.46%
2022 Fed Rate Hikes,MVO_Historical,-0.26%,-0.26%,19.60%,-0.02,16.01%
2022 Fed Rate Hikes,ML_MVO_No_Uncertainty,0.05%,0.05%,19.10%,-0.01,15.07%
2022 Fed Rate Hikes,UAPOML_Uncertainty_Aware,-1.08%,-1.09%,18.82%,-0.07,14.80%
2022 Fed Rate Hikes,Benchmark_SPY,-18.18%,-18.24%,24.24%,-0.79,24.50%
2023-2024 AI Bull Market,Equal_Weight,53.89%,24.21%,11.34%,1.79,8.89%
2023-2024 AI Bull Market,MVO_Historical,83.53%,35.72%,16.68%,1.80,13.28%
2023-2024 AI Bull Market,ML_MVO_No_Uncertainty,29.32%,13.80%,13.43%,0.88,14.78%
2023-2024 AI Bull Market,UAPOML_Uncertainty_Aware,26.48%,12.54%,13.22%,0.81,14.94%
2023-2024 AI Bull Market,Benchmark_SPY,58.15%,25.93%,12.82%,1.71,9.97%
